,number_sensors,collision_probability,ticks,messages_per_colissionprobab
0,1,0.0,0.005,18.0
1,2,0.0,0.005245245245245245,18.0
2,3,0.0,0.005490490490490491,18.0
3,4,0.0,0.005735735735735736,18.0
4,5,0.0,0.005980980980980981,19.0
5,6,0.0,0.006226226226226227,19.0
6,7,0.0,0.006471471471471472,21.0
7,8,0.0,0.0067167167167167165,21.0
8,9,0.0,0.006961961961961962,21.0
9,10,0.0,0.007207207207207207,22.0
10,11,0.03636363636363637,0.007452452452452452,22.0
11,12,0.0,0.007697697697697698,23.0
12,13,0.015384615384615385,0.007942942942942944,23.0
13,14,0.0,0.008188188188188188,23.0
14,15,0.013333333333333334,0.008433433433433434,23.0
15,16,0.0,0.008678678678678678,23.0
16,17,0.0,0.008923923923923924,23.0
17,18,0.011111111111111112,0.00916916916916917,24.0
18,19,0.0,0.009414414414414415,25.0
19,20,0.0,0.00965965965965966,26.0
20,21,0.009523809523809525,0.009904904904904904,27.0
21,22,0.02727272727272727,0.01015015015015015,27.0
22,23,0.02608695652173913,0.010395395395395395,28.0
23,24,0.016666666666666666,0.010640640640640641,28.0
24,25,0.016,0.010885885885885887,28.0
25,26,0.007692307692307693,0.011131131131131131,29.0
26,27,0.014814814814814815,0.011376376376376375,29.0
27,28,0.0071428571428571435,0.011621621621621621,30.0
28,29,0.013793103448275864,0.011866866866866867,30.0
29,30,0.02,0.012112112112112113,30.0
30,31,0.0064516129032258064,0.012357357357357357,30.0
31,32,0.00625,0.012602602602602602,30.0
32,33,0.024242424242424242,0.012847847847847847,31.0
33,34,0.0058823529411764705,0.013093093093093092,32.0
34,35,0.0,0.013338338338338338,34.0
35,36,0.0,0.013583583583583584,34.0
36,37,0.03783783783783783,0.01382882882882883,36.0
37,38,0.015789473684210527,0.014074074074074072,36.0
38,39,0.010256410256410256,0.014319319319319318,37.0
39,40,0.02,0.014564564564564564,37.0
40,41,0.00975609756097561,0.01480980980980981,37.0
41,42,0.014285714285714285,0.015055055055055055,39.0
42,43,0.009302325581395349,0.015300300300300301,40.0
43,44,0.009090909090909092,0.015545545545545544,42.0
44,45,0.03111111111111111,0.01579079079079079,44.0
45,46,0.013043478260869565,0.016036036036036035,46.0
46,47,0.02978723404255319,0.01628128128128128,46.0
47,48,0.016666666666666666,0.016526526526526527,46.0
48,49,0.024489795918367346,0.016771771771771773,49.0
49,50,0.022000000000000002,0.017017017017017015,49.0
50,51,0.027450980392156862,0.01726226226226226,49.0
51,52,0.015384615384615385,0.017507507507507507,49.0
52,53,0.01509433962264151,0.017752752752752753,50.0
53,54,0.014814814814814815,0.017997997997998,50.0
54,55,0.021818181818181816,0.01824324324324324,51.0
55,56,0.024999999999999998,0.018488488488488487,51.0
56,57,0.021052631578947368,0.018733733733733732,51.0
57,58,0.013793103448275864,0.018978978978978978,51.0
58,59,0.030508474576271188,0.019224224224224224,51.0
59,60,0.013333333333333334,0.01946946946946947,52.0
60,61,0.019672131147540982,0.019714714714714712,53.0
61,62,0.02258064516129032,0.019959959959959958,54.0
62,63,0.015873015873015872,0.020205205205205204,56.0
63,64,0.021875,0.02045045045045045,56.0
64,65,0.03230769230769231,0.020695695695695696,56.0
65,66,0.01818181818181818,0.02094094094094094,56.0
66,67,0.023880597014925373,0.021186186186186187,58.0
67,68,0.01764705882352941,0.02143143143143143,58.0
68,69,0.011594202898550725,0.021676676676676675,58.0
69,70,0.02857142857142857,0.02192192192192192,61.0
70,71,0.04507042253521127,0.022167167167167167,62.0
71,72,0.016666666666666666,0.022412412412412413,62.0
72,73,0.021917808219178082,0.02265765765765766,63.0
73,74,0.03783783783783783,0.0229029029029029,63.0
74,75,0.036000000000000004,0.023148148148148147,63.0
75,76,0.021052631578947368,0.023393393393393393,63.0
76,77,0.015584415584415584,0.02363863863863864,64.0
77,78,0.01282051282051282,0.023883883883883884,65.0
78,79,0.027848101265822787,0.02412912912912913,65.0
79,80,0.025,0.024374374374374373,66.0
80,81,0.019753086419753086,0.02461961961961962,67.0
81,82,0.03170731707317073,0.024864864864864864,67.0
82,83,0.01927710843373494,0.02511011011011011,69.0
83,84,0.05,0.025355355355355356,69.0
84,85,0.023529411764705882,0.0256006006006006,69.0
85,86,0.03604651162790698,0.025845845845845844,69.0
86,87,0.031034482758620693,0.02609109109109109,70.0
87,88,0.031818181818181815,0.026336336336336336,70.0
88,89,0.048314606741573035,0.02658158158158158,71.0
89,90,0.03777777777777778,0.026826826826826827,72.0
90,91,0.026373626373626374,0.027072072072072073,72.0
91,92,0.03260869565217391,0.027317317317317315,73.0
92,93,0.03655913978494624,0.02756256256256256,74.0
93,94,0.03404255319148936,0.027807807807807807,74.0
94,95,0.035789473684210524,0.028053053053053053,75.0
95,96,0.03958333333333333,0.0282982982982983,75.0
96,97,0.041237113402061855,0.028543543543543545,75.0
97,98,0.0326530612244898,0.028788788788788787,76.0
98,99,0.05252525252525253,0.029034034034034033,76.0
99,100,0.057,0.02927927927927928,76.0
100,101,0.026732673267326736,0.029524524524524524,76.0
101,102,0.03333333333333333,0.02976976976976977,76.0
102,103,0.04660194174757282,0.030015015015015013,77.0
103,104,0.044230769230769226,0.03026026026026026,77.0
104,105,0.05047619047619047,0.030505505505505504,77.0
105,106,0.04339622641509434,0.03075075075075075,78.0
106,107,0.04392523364485981,0.030995995995995996,78.0
107,108,0.05092592592592592,0.03124124124124124,80.0
108,109,0.04678899082568807,0.031486486486486484,80.0
109,110,0.034545454545454546,0.03173173173173173,81.0
110,111,0.039639639639639644,0.031976976976976976,82.0
111,112,0.04017857142857143,0.03222222222222222,82.0
112,113,0.04601769911504425,0.03246746746746747,83.0
113,114,0.037719298245614034,0.03271271271271271,85.0
114,115,0.039999999999999994,0.03295795795795795,85.0
115,116,0.049999999999999996,0.0332032032032032,86.0
116,117,0.04871794871794872,0.033448448448448444,87.0
117,118,0.04915254237288135,0.03369369369369369,87.0
118,119,0.049579831932773114,0.033938938938938935,87.0
119,120,0.03916666666666667,0.03418418418418418,88.0
120,121,0.05371900826446281,0.03442942942942943,88.0
121,122,0.04672131147540984,0.03467467467467467,89.0
122,123,0.03983739837398374,0.03491991991991992,89.0
123,124,0.03306451612903225,0.035165165165165164,90.0
124,125,0.0496,0.03541041041041041,90.0
125,126,0.047619047619047616,0.035655655655655656,90.0
126,127,0.05039370078740158,0.035900900900900895,91.0
127,128,0.05,0.03614614614614614,93.0
128,129,0.03953488372093023,0.03639139139139139,94.0
129,130,0.05692307692307692,0.03663663663663663,95.0
130,131,0.03511450381679389,0.03688188188188188,95.0
131,132,0.04015151515151515,0.037127127127127124,95.0
132,133,0.06466165413533834,0.03737237237237237,95.0
133,134,0.048507462686567165,0.037617617617617616,95.0
