,index,all_backshifts,number_sensors_shifted,collisions,carryovers,avg_shifted_time
0,1,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.4,0.0,0.0
7,8,0.0,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.4,0.0,0.0
18,19,0.0,0.0,0.4,0.0,0.0
19,20,0.8,0.4,0.0,0.0,0.03913934
20,21,0.0,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.4,0.0,0.0
24,25,0.0,0.0,0.0,0.0,0.0
25,26,0.2,0.2,0.0,0.0,0.013352638461538464
26,27,0.0,0.0,0.8,0.0,0.0
27,28,0.0,0.0,0.4,0.0,0.0
28,29,0.0,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0,0.0
31,32,0.2,0.2,0.0,0.0,0.006993149999999999
32,33,0.8,0.6,0.4,0.0,0.02535629696969697
33,34,0.0,0.0,0.8,0.0,0.0
34,35,0.0,0.0,0.4,0.0,0.0
35,36,0.0,0.0,0.4,0.0,0.0
36,37,0.8,0.2,0.0,0.0,0.016046821621621625
37,38,0.0,0.0,0.4,0.0,0.0
38,39,0.4,0.2,0.0,0.0,0.009348082051282052
39,40,0.0,0.0,1.2,0.0,0.0
40,41,0.0,0.0,0.4,0.0,0.0
41,42,0.4,0.4,0.4,0.0,0.012572295238095239
42,43,0.2,0.2,0.0,0.0,0.0033460837209302327
43,44,0.8,0.6,0.4,0.0,0.0240227
44,45,0.4,0.2,0.8,0.0,0.010334760000000002
45,46,1.0,0.4,0.4,0.0,0.020337682608695652
46,47,0.0,0.0,0.8,0.0,0.0
47,48,0.0,0.0,1.2,0.0,0.0
48,49,0.6,0.6,1.2,0.0,0.01810955918367347
49,50,0.8,0.4,0.4,0.0,0.016836908
50,51,0.0,0.0,1.2,0.0,0.0
51,52,0.4,0.4,0.4,0.0,0.00973578076923077
52,53,0.2,0.2,0.8,0.0,0.0026996037735849054
53,54,0.4,0.4,1.2,0.0,0.012514551851851852
54,55,0.0,0.0,0.0,0.0,0.0
55,56,0.6,0.4,0.8,0.0,0.0103529
56,57,0.4,0.2,0.8,0.2,0.005503392982456141
57,58,0.0,0.0,0.0,0.0,0.0
58,59,0.8,0.4,0.8,0.0,0.009656766101694914
59,60,1.0,1.0,1.2,0.0,0.022294603333333336
