,index,all_backshifts,number_sensors_shifted
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.2,0.2
21,21,0.0,0.0
22,22,0.4,0.2
23,23,0.2,0.2
24,24,0.4,0.0
25,25,0.0,0.0
26,26,0.2,0.2
27,27,0.6,0.2
28,28,0.2,0.2
29,29,0.4,0.4
30,30,1.0,0.2
31,31,0.2,0.2
32,32,0.0,0.0
33,33,0.2,0.2
34,34,0.0,0.0
35,35,0.0,0.0
36,36,0.0,0.0
37,37,0.4,0.2
38,38,0.4,0.4
39,39,0.2,0.2
40,40,0.8,0.6
41,41,0.2,0.2
42,42,0.4,0.4
43,43,0.0,0.0
44,44,0.4,0.2
45,45,1.2,0.6
46,46,0.8,0.6
47,47,0.4,0.4
48,48,0.8,0.6
49,49,0.0,0.0
50,50,1.2,0.6
51,51,0.2,0.2
52,52,1.0,0.6
53,53,1.6,0.8
54,54,1.6,1.0
55,55,0.4,0.4
56,56,0.6,0.4
57,57,0.6,0.6
58,58,0.6,0.6
59,59,0.0,0.0
60,60,0.8,0.8
61,61,1.2,1.0
62,62,0.0,0.0
63,63,1.0,0.8
64,64,0.8,0.8
65,65,0.8,0.6
66,66,0.2,0.2
67,67,0.8,0.6
68,68,1.0,0.8
69,69,2.0,1.2
70,70,0.8,0.8
71,71,0.4,0.4
72,72,1.0,0.6
73,73,1.4,1.2
74,74,1.6,0.8
75,75,1.4,1.0
76,76,0.2,0.2
77,77,1.8,1.0
78,78,1.8,1.4
79,79,1.6,0.8
80,80,1.4,1.0
81,81,1.8,1.2
82,82,2.2,1.8
83,83,1.2,1.0
84,84,2.4,1.8
85,85,1.6,0.8
86,86,2.6,1.6
87,87,3.0,1.8
88,88,1.8,1.2
89,89,1.6,1.4
90,90,3.0,2.4
91,91,2.6,2.2
92,92,2.2,1.2
93,93,1.4,1.4
94,94,1.8,1.4
95,95,2.8,2.0
96,96,2.0,1.4
97,97,2.2,1.6
98,98,2.4,1.8
99,99,4.4,2.8
100,100,2.4,2.0
101,101,3.0,2.0
102,102,2.4,1.8
103,103,3.2,2.2
104,104,1.8,1.6
105,105,4.0,2.6
106,106,3.8,2.4
107,107,2.6,2.2
108,108,2.6,2.0
109,109,2.8,2.0
110,110,3.6,2.0
111,111,2.2,1.6
112,112,5.2,3.8
113,113,4.4,2.8
114,114,1.8,1.4
115,115,3.0,2.2
116,116,4.4,3.2
117,117,4.8,3.6
118,118,3.4,2.4
119,119,5.0,3.2
120,120,2.8,2.4
121,121,4.0,3.2
122,122,4.8,3.4
123,123,4.4,3.8
124,124,3.2,2.6
125,125,4.8,4.0
126,126,3.8,2.6
127,127,5.2,4.0
128,128,3.2,2.4
129,129,2.8,2.4
130,130,3.0,2.4
131,131,5.4,3.2
132,132,6.2,4.0
133,133,1.8,1.6
134,134,3.6,2.6
135,135,5.0,3.2
136,136,4.0,2.6
137,137,4.4,3.4
138,138,2.4,2.0
139,139,3.2,2.2
140,140,7.2,5.0
141,141,6.0,4.2
142,142,4.8,4.0
143,143,3.8,2.8
144,144,6.2,4.2
145,145,4.8,3.8
146,146,4.6,3.2
147,147,3.2,2.4
148,148,8.0,3.8
149,149,5.8,4.6
150,150,3.8,2.6
151,151,5.0,3.0
152,152,6.4,4.6
153,153,8.0,4.8
154,154,7.6,5.4
155,155,5.0,4.2
156,156,4.8,2.8
157,157,7.2,5.4
158,158,5.4,3.2
159,159,7.6,5.0
160,160,9.4,6.4
161,161,5.2,4.2
162,162,7.8,4.8
163,163,6.0,4.4
164,164,5.6,3.6
165,165,6.6,5.0
166,166,8.4,6.4
167,167,9.0,6.2
168,168,10.2,7.0
169,169,9.2,4.6
170,170,9.8,6.4
171,171,5.0,3.8
172,172,4.6,3.6
173,173,9.6,6.8
174,174,5.0,4.0
175,175,8.0,6.2
176,176,10.8,8.0
177,177,7.8,6.0
178,178,6.8,5.4
179,179,7.0,4.8
180,180,9.2,7.0
181,181,6.0,5.0
182,182,7.0,5.2
183,183,11.0,7.2
184,184,8.0,6.4
185,185,11.8,8.4
186,186,11.2,8.4
187,187,6.4,5.0
188,188,11.0,8.0
189,189,14.2,9.6
190,190,9.4,7.0
191,191,9.8,6.8
192,192,9.4,6.8
193,193,8.4,6.2
194,194,10.0,7.6
195,195,12.6,8.6
196,196,10.4,8.0
197,197,11.2,7.8
198,198,13.6,9.0
199,199,9.4,6.6
200,200,7.4,5.6
201,201,12.2,9.4
202,202,12.6,8.8
203,203,9.8,7.2
204,204,7.8,5.6
205,205,10.6,7.4
206,206,10.0,7.4
207,207,14.2,9.6
208,208,12.2,8.8
209,209,12.2,10.0
210,210,8.6,6.6
211,211,11.2,7.6
212,212,8.2,6.6
213,213,12.4,8.4
214,214,12.8,8.2
215,215,11.8,8.8
216,216,12.0,8.8
217,217,11.8,8.2
218,218,12.8,8.4
219,219,12.8,9.6
220,220,12.4,8.6
221,221,15.2,9.6
222,222,15.6,11.6
223,223,13.8,10.0
224,224,15.4,9.6
225,225,8.8,7.6
226,226,13.6,9.0
227,227,12.8,8.2
228,228,14.4,10.0
229,229,14.2,10.4
230,230,16.0,10.6
231,231,14.6,11.2
232,232,16.0,9.4
233,233,15.2,10.4
234,234,17.4,11.8
235,235,10.4,8.0
236,236,12.2,10.2
237,237,18.6,12.0
238,238,10.0,8.6
239,239,17.4,11.2
240,240,14.2,9.6
241,241,12.2,7.8
242,242,18.0,12.8
243,243,17.2,12.8
244,244,18.6,12.4
245,245,13.4,9.8
246,246,18.0,12.0
247,247,18.4,13.6
248,248,16.0,12.0
249,249,16.6,13.2
250,250,19.2,12.6
251,251,17.2,13.2
252,252,19.0,11.8
253,253,15.0,11.2
254,254,19.2,12.6
255,255,19.2,12.8
256,256,15.6,11.2
257,257,13.8,11.2
258,258,17.0,13.4
259,259,13.0,9.6
260,260,16.8,11.6
261,261,20.6,12.8
262,262,16.6,12.6
263,263,19.6,14.0
264,264,20.6,15.4
265,265,16.0,12.4
266,266,18.0,13.2
267,267,20.0,14.6
268,268,22.4,14.4
269,269,14.8,11.4
270,270,19.0,13.2
271,271,17.6,12.8
272,272,19.6,14.0
273,273,16.8,12.0
274,274,19.8,13.0
275,275,22.8,16.0
276,276,22.4,14.2
277,277,20.4,12.6
278,278,25.4,18.8
279,279,19.0,14.2
280,280,18.6,13.0
281,281,16.4,12.6
282,282,22.8,16.2
283,283,25.0,17.2
284,284,21.8,14.0
285,285,21.6,15.2
286,286,19.4,14.4
287,287,27.0,17.6
288,288,21.0,14.8
289,289,20.8,15.6
290,290,20.8,16.2
291,291,27.8,18.2
292,292,23.0,17.0
293,293,24.6,16.2
294,294,18.4,12.2
295,295,19.8,13.0
296,296,18.8,13.2
297,297,23.2,15.6
298,298,17.4,12.0
299,299,26.0,17.2
300,300,22.0,15.8
301,301,25.4,16.6
302,302,22.6,16.0
303,303,23.8,17.6
304,304,24.0,16.6
305,305,26.8,18.8
306,306,24.8,17.4
307,307,23.8,18.8
308,308,24.4,18.6
