,number_of_messages,collision_probability
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0006557377049180328
7,8,0.0
8,9,0.0005063291139240507
9,10,0.0013698630136986301
10,11,0.001867219917012448
11,12,0.0007611818999796825
12,13,0.002988015814183346
13,14,0.001139271540118837
14,15,0.0009146383906819183
15,16,0.005132482984527258
16,17,0.0022826018228296317
17,18,0.00709631614071902
18,19,0.0025213104987370284
19,20,0.00445310088086647
20,21,0.0021710828875485737
21,22,0.001865720990701027
22,23,0.0017838483185483721
23,24,0.0017099464341114833
24,25,0.002737069534827237
25,26,0.0038598080041378708
26,27,0.0025334334503220686
27,28,0.002604741206530144
28,29,0.002518015766991442
29,30,0.0037247967313028423
30,31,0.0020579591926173637
31,32,0.003417993398304539
32,33,0.0025545831431684047
33,34,0.0034224605631642925
34,35,0.0037771888102645346
35,36,0.0025334544439184455
36,37,0.004995967320421156
37,38,0.0049822212489242495
38,39,0.004032569860224613
39,40,0.008145720338184836
40,41,0.004673291849318343
41,42,0.0034203507894655033
42,43,0.007424502036832989
43,44,0.006115415319756414
44,45,0.004865896322710187
45,46,0.005651914955633287
46,47,0.005380633655597614
47,48,0.008979583048386287
48,49,0.005213091771989147
49,50,0.0073883945510679495
50,51,0.005671360939961791
51,52,0.007670386180819095
52,53,0.0055460061198375115
53,54,0.0037177555162725287
54,55,0.005509772335028746
55,56,0.0076599407064879
56,57,0.006517493353792992
57,58,0.005937010384545877
58,59,0.008114650715976543
59,60,0.008886340159335138
60,61,0.006277486729761595
61,62,0.007393703885605235
62,63,0.007524701502268427
63,64,0.007981171716310506
64,65,0.007403253198289437
65,66,0.008672296438149119
66,67,0.006637183390006979
67,68,0.0051962155790414915
68,69,0.00667552723829964
69,70,0.007847060119428904
70,71,0.008215802294064515
71,72,0.007786545649245748
72,73,0.008428743108395847
73,74,0.007209563084049563
74,75,0.00799276033826474
75,76,0.0072550449233425105
76,77,0.00775666223249997
77,78,0.006634543468805383
78,79,0.00741507665470136
79,80,0.00783903275835811
80,81,0.00717573575813948
81,82,0.010674080526879796
82,83,0.007992720803376553
83,84,0.008061088259110298
84,85,0.008719910848276335
85,86,0.007236503942693361
86,87,0.007569385007970816
87,88,0.010463968911719029
88,89,0.00783563020001417
89,90,0.00937101094061113
90,91,0.007315018428279594
91,92,0.006936846129196284
92,93,0.0076482500226532244
93,94,0.010816118718822475
94,95,0.006574767285092732
95,96,0.0104692154694978
96,97,0.009330098854309004
97,98,0.00905211553120552
98,99,0.0074132145889790665
