,X,collisions
0,0,[]
1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0489749430523918, 0.0, 0.05017103762827822, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,30,"[0.03343465045592705, 0.0, 0.06681852695520121, 0.0, 0.0, 0.03353658536585366, 0.03267477203647416, 0.0, 0.03338391502276176, 0.0, 0.0, 0.0, 0.033460076045627375, 0.033409263477600606, 0.03338391502276176, 0.03351104341203351, 0.0, 0.0, 0.0, 0.0]"
4,40,"[0.04957264957264957, 0.0, 0.07517084282460136, 0.0, 0.0, 0.0245014245014245, 0.0, 0.0, 0.025099828864803195, 0.0, 0.07468643101482327, 0.02508551881413911, 0.0, 0.0, 0.0, 0.02508551881413911, 0.0, 0.0, 0.0, 0.0]"
5,50,"[0.020063839489284085, 0.0, 0.020054694621695533, 0.020054694621695533, 0.0, 0.03970789593792789, 0.0, 0.019616788321167884, 0.03965360072926162, 0.0, 0.020054694621695533, 0.0, 0.04009111617312073, 0.06043956043956044, 0.08014571948998178, 0.020063839489284085, 0.03965360072926162, 0.06005459508644222, 0.03923357664233577, 0.02009132420091324]"
6,60,"[0.033460076045627375, 0.03349828701941378, 0.08250950570342205, 0.0, 0.016736401673640166, 0.01669829222011385, 0.0, 0.016710976072920623, 0.03342195214584125, 0.016704631738800303, 0.05024743052912067, 0.016730038022813688, 0.016685627607129314, 0.016704631738800303, 0.05017103762827822, 0.03343465045592705, 0.06646410938093429, 0.016723679209426075, 0.0, 0.033409263477600606]"
7,70,"[0.014336917562724014, 0.014001953760989906, 0.014332247557003257, 0.014318255776114546, 0.028627195836044242, 0.014308943089430894, 0.014336917562724014, 0.014332247557003257, 0.014318255776114546, 0.014332247557003257, 0.04296875, 0.04260162601626016, 0.043010752688172046, 0.0, 0.04291287386215865, 0.0, 0.014336917562724014, 0.04269882659713168, 0.028627195836044242, 0.014322916666666666]"
8,80,"[0.02511415525114155, 0.02481460353679407, 0.012549914432401598, 0.012521343198634035, 0.012524907486478793, 0.04995717956037682, 0.03706871970345024, 0.0, 0.03677309007981756, 0.0, 0.04932991160536071, 0.12478632478632479, 0.03736451796919567, 0.024793388429752067, 0.0, 0.037639007698887936, 0.0, 0.025049814972957586, 0.07435897435897436, 0.05007112375533428]"
9,90,"[0.044579533941236066, 0.06622684597817813, 0.0, 0.04410646387832699, 0.04452314697697951, 0.03343465045592705, 0.011142061281337047, 0.033223433933553134, 0.06632911392405064, 0.03343465045592705, 0.02231237322515213, 0.02225031605562579, 0.022267206477732792, 0.0, 0.033189764378008614, 0.044281376518218625, 0.011142061281337047, 0.04434870755195134, 0.022301064368981247, 0.03343465045592705]"
