,X,collisions
0,0,[]
1,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,30,"[0.0, 0.0, 0.0, 0.0, 0.0333889816360601, 0.0, 0.0333889816360601, 0.0, 0.0, 0.1001669449081803, 0.0, 0.0, 0.0333889816360601, 0.0, 0.0, 0.0, 0.0, 0.0333889816360601, 0.0, 0.0]"
4,40,"[0.0, 0.0, 0.025031289111389236, 0.0, 0.05006257822277847, 0.0, 0.0, 0.0, 0.025031289111389236, 0.0, 0.0, 0.05006257822277847, 0.0, 0.025031289111389236, 0.0, 0.025031289111389236, 0.025031289111389236, 0.025031289111389236, 0.0, 0.0]"
5,50,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02002002002002002, 0.0, 0.0, 0.0, 0.02002002002002002, 0.02002002002002002, 0.0, 0.0, 0.0, 0.0, 0.02002002002002002, 0.0, 0.0, 0.02002002002002002]"
6,60,"[0.016680567139282735, 0.03336113427856547, 0.03336113427856547, 0.016680567139282735, 0.0, 0.03336113427856547, 0.016680567139282735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03336113427856547, 0.016680567139282735, 0.0, 0.08340283569641367, 0.0, 0.016680567139282735]"
7,70,"[0.0, 0.028591851322373123, 0.014295925661186561, 0.028591851322373123, 0.028591851322373123, 0.0, 0.0, 0.04288777698355969, 0.028591851322373123, 0.028591851322373123, 0.028591851322373123, 0.0, 0.014295925661186561, 0.057183702644746245, 0.057183702644746245, 0.028591851322373123, 0.028591851322373123, 0.014295925661186561, 0.028591851322373123, 0.014295925661186561]"
8,80,"[0.0, 0.025015634771732333, 0.012507817385866166, 0.012507817385866166, 0.025015634771732333, 0.050031269543464665, 0.012507817385866166, 0.012507817385866166, 0.0375234521575985, 0.0375234521575985, 0.012507817385866166, 0.025015634771732333, 0.06253908692933083, 0.012507817385866166, 0.025015634771732333, 0.025015634771732333, 0.0375234521575985, 0.012507817385866166, 0.012507817385866166, 0.025015634771732333]"
9,90,"[0.0, 0.011117287381878822, 0.011117287381878822, 0.011117287381878822, 0.033351862145636464, 0.033351862145636464, 0.022234574763757644, 0.033351862145636464, 0.033351862145636464, 0.06670372429127293, 0.011117287381878822, 0.0, 0.011117287381878822, 0.033351862145636464, 0.0, 0.011117287381878822, 0.022234574763757644, 0.022234574763757644, 0.04446914952751529, 0.055586436909394105]"
